addVehicle,2026-06-03 23:39:32
addVehicle,2026-06-03 23:39:32
addVehicle,2026-06-03 23:39:32
addVehicle,2026-06-03 23:39:32
addVehicle,2026-06-03 23:39:32
addVehicle,2026-06-03 23:39:32
registerClient,2026-06-03 23:39:32
registerClient,2026-06-03 23:39:32
registerClient,2026-06-03 23:39:32
rentVehicle,2026-06-03 23:39:32
rentVehicle,2026-06-03 23:39:32
rentVehicle,2026-06-03 23:39:32
rentVehicle,2026-06-03 23:39:32
getAvailableVehicles,2026-06-03 23:39:32
searchVehiclesByCategory,2026-06-03 23:39:32
searchVehiclesByCategory,2026-06-03 23:39:32
showActiveRentals,2026-06-03 23:39:32
returnVehicle,2026-06-03 23:39:32
showClientHistory,2026-06-03 23:39:32
showClientHistory,2026-06-03 23:39:32
calculateTotalRevenue,2026-06-03 23:39:32
removeVehicle,2026-06-03 23:39:32
getAvailableVehicles,2026-06-03 23:39:32
addVehicle,2026-06-03 23:48:10
addVehicle,2026-06-03 23:48:10
addVehicle,2026-06-03 23:48:10
addVehicle,2026-06-03 23:48:10
addVehicle,2026-06-03 23:48:10
addVehicle,2026-06-03 23:48:10
rentVehicle,2026-06-03 23:48:10
rentVehicle,2026-06-03 23:48:10
rentVehicle,2026-06-03 23:48:10
rentVehicle,2026-06-03 23:48:10
getAvailableVehicles,2026-06-03 23:48:10
searchVehiclesByCategory,2026-06-03 23:48:10
searchVehiclesByCategory,2026-06-03 23:48:10
showActiveRentals,2026-06-03 23:48:10
returnVehicle,2026-06-03 23:48:10
showClientHistory,2026-06-03 23:48:10
showClientHistory,2026-06-03 23:48:10
calculateTotalRevenue,2026-06-03 23:48:10
removeVehicle,2026-06-03 23:48:10
getAvailableVehicles,2026-06-03 23:48:10
addVehicle,2026-06-03 23:52:37
addVehicle,2026-06-03 23:52:37
addVehicle,2026-06-03 23:52:37
addVehicle,2026-06-03 23:52:37
addVehicle,2026-06-03 23:52:37
addVehicle,2026-06-03 23:52:37
rentVehicle,2026-06-03 23:52:37
rentVehicle,2026-06-03 23:52:37
rentVehicle,2026-06-03 23:52:37
rentVehicle,2026-06-03 23:52:37
getAvailableVehicles,2026-06-03 23:52:37
searchVehiclesByCategory,2026-06-03 23:52:37
searchVehiclesByCategory,2026-06-03 23:52:37
showActiveRentals,2026-06-03 23:52:37
returnVehicle,2026-06-03 23:52:37
showClientHistory,2026-06-03 23:52:37
showClientHistory,2026-06-03 23:52:37
calculateTotalRevenue,2026-06-03 23:52:37
removeVehicle,2026-06-03 23:52:37
getAvailableVehicles,2026-06-03 23:52:37
addVehicle,2026-06-04 00:17:01
addVehicle,2026-06-04 00:17:01
addVehicle,2026-06-04 00:17:01
addVehicle,2026-06-04 00:17:01
addVehicle,2026-06-04 00:17:01
addVehicle,2026-06-04 00:17:01
rentVehicle,2026-06-04 00:17:01
rentVehicle,2026-06-04 00:17:01
rentVehicle,2026-06-04 00:17:01
rentVehicle,2026-06-04 00:17:01
getAvailableVehicles,2026-06-04 00:17:01
searchVehiclesByCategory,2026-06-04 00:17:01
searchVehiclesByCategory,2026-06-04 00:17:01
showActiveRentals,2026-06-04 00:17:01
returnVehicle,2026-06-04 00:17:01
showClientHistory,2026-06-04 00:17:01
showClientHistory,2026-06-04 00:17:01
calculateTotalRevenue,2026-06-04 00:17:01
removeVehicle,2026-06-04 00:17:01
getAvailableVehicles,2026-06-04 00:17:01
addVehicle,2026-06-04 17:08:10
getAvailableVehicles,2026-06-04 17:08:18
removeVehicle,2026-06-04 17:08:32
addVehicle,2026-06-04 17:10:39
addVehicle,2026-06-04 17:10:39
addVehicle,2026-06-04 17:10:39
addVehicle,2026-06-04 17:10:39
addVehicle,2026-06-04 17:10:39
addVehicle,2026-06-04 17:10:39
registerClient,2026-06-04 17:10:39
registerClient,2026-06-04 17:10:39
registerClient,2026-06-04 17:10:39
addVehicle,2026-06-04 17:14:13
addVehicle,2026-06-04 17:14:13
addVehicle,2026-06-04 17:14:13
addVehicle,2026-06-04 17:14:13
addVehicle,2026-06-04 17:14:13
addVehicle,2026-06-04 17:14:13
rentVehicle,2026-06-04 17:14:13
rentVehicle,2026-06-04 17:14:13
showActiveRentals,2026-06-04 17:21:25
getAvailableVehicles,2026-06-04 17:21:36
